DocNo,DocDate,TaxDate,SalesLocation,SalesAgent,CreditTerm,Description,DebtorCode,TaxEntity,Address,InclusiveTax,SubmitEInvoice,ProductCode,AccNo,ClassificationCode,TaxCode,DetailDescription,FurtherDescription,Qty,Unit,UnitPrice,LocalTotalCost,TaxExemptionExpiryDate,PaymentMethod,PaymentRef,PaymentAmt,Email,EmailCC,EmailBCC,Attention,Phone1,Fax1,DeliverAddress,DeliverContact,DeliverPhone1,DeliverFax1,Ref,Note,Remark1,Remark2,Remark3,Remark4,CurrencyRate,ToTaxCurrencyRate,ToBankRate,ShippingRecipientTaxEntity,FreightAllowanceCharge,FreightAllowanceChargeReason,ReferenceNumberOfCustomsFormNo1And9,FreeTradeAgreementInformation,ReferenceNumberOfCustomsFormNo2,Incoterms,AuthorisationNumberForCertifiedExporter,EInvoiceIssueDateTime,EInvoiceUuid,ProductVariant,DeptNo,Discount,UnitType,TaxExportCountry,TaxPermitNo,TaxAdjustment,LocalTaxAdjustment,TariffCode,YourPONo,YourPODate,OriginCountry
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (NL),• Cost Center: MY037101 | • Country: NL | • Pay-per-use: USD 0.1597 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.6508,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (NZ),• Cost Center: MY037101 | • Country: NZ | • Pay-per-use: USD 0.0732 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,3,3,0.2983,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (PH),• Cost Center: MY037101 | • Country: PH | • Pay-per-use: USD 0.0732 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.2983,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (PR),• Cost Center: MY037101 | • Country: PR | • Pay-per-use: USD 0.074 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.3015,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (QA),• Cost Center: MY037101 | • Country: QA | • Pay-per-use: USD 0.0341 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,4,4,0.139,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (SA),• Cost Center: MY037101 | • Country: SA | • Pay-per-use: USD 0.0455 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,6,6,0.1854,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (SG),• Cost Center: MY037101 | • Country: SG | • Pay-per-use: USD 0.0732 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,637,637,0.2983,190.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (TH),• Cost Center: MY037101 | • Country: TH | • Pay-per-use: USD 0.0732 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.2983,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (VI),• Cost Center: MY037101 | • Country: VI | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.3469,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (VN),• Cost Center: MY037101 | • Country: VN | • Pay-per-use: USD 0.0732 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.2983,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
